timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/04 21:53:23.165, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:23.266, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:23.367, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:23.467, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:23.568, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:23.668, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:23.769, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:23.870, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:23.971, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:24.071, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:24.172, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:24.273, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:24.373, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:24.474, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:24.575, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:24.676, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:24.776, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:24.877, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:24.978, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:25.079, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:25.179, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:25.280, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:53:25.381, 5, 24576, 612, 23646, 9, 0
2025/01/04 21:53:25.483, 5, 24576, 792, 23466, 9, 0
2025/01/04 21:53:25.583, 5, 24576, 792, 23466, 8, 0
2025/01/04 21:53:25.684, 5, 24576, 792, 23466, 8, 0
2025/01/04 21:53:25.785, 5, 24576, 804, 23454, 5, 1
2025/01/04 21:53:25.885, 5, 24576, 804, 23454, 5, 1
2025/01/04 21:53:25.986, 5, 24576, 804, 23454, 44, 11
2025/01/04 21:53:26.087, 5, 24576, 804, 23454, 44, 11
2025/01/04 21:53:26.188, 5, 24576, 804, 23454, 41, 11
2025/01/04 21:53:26.288, 5, 24576, 804, 23454, 41, 11
2025/01/04 21:53:26.389, 5, 24576, 804, 23454, 41, 11
2025/01/04 21:53:26.490, 5, 24576, 804, 23454, 41, 11
2025/01/04 21:53:26.591, 5, 24576, 804, 23454, 42, 11
2025/01/04 21:53:26.691, 5, 24576, 804, 23454, 42, 11
2025/01/04 21:53:26.792, 5, 24576, 804, 23454, 40, 11
2025/01/04 21:53:26.893, 5, 24576, 804, 23454, 40, 11
2025/01/04 21:53:26.993, 5, 24576, 804, 23454, 45, 12
2025/01/04 21:53:27.094, 5, 24576, 804, 23454, 45, 12
2025/01/04 21:53:27.195, 5, 24576, 804, 23454, 43, 11
2025/01/04 21:53:27.296, 5, 24576, 804, 23454, 43, 11
2025/01/04 21:53:27.397, 5, 24576, 804, 23454, 43, 11
2025/01/04 21:53:27.497, 5, 24576, 804, 23454, 43, 11
2025/01/04 21:53:27.598, 5, 24576, 804, 23454, 40, 11
2025/01/04 21:53:27.699, 5, 24576, 804, 23454, 40, 11
