timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/04 22:00:04.992, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:00:05.093, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:00:05.194, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:00:05.295, 5, 24576, 372, 23886, 1, 0
2025/01/04 22:00:05.395, 5, 24576, 372, 23886, 1, 0
2025/01/04 22:00:05.496, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:00:05.597, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:00:05.697, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:00:05.798, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:00:05.899, 5, 24576, 384, 23874, 1, 0
2025/01/04 22:00:06.000, 5, 24576, 384, 23874, 1, 0
2025/01/04 22:00:06.100, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:06.201, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:06.302, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:06.403, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:06.503, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:06.604, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:06.705, 5, 24576, 384, 23874, 10, 0
2025/01/04 22:00:06.805, 5, 24576, 384, 23874, 10, 0
2025/01/04 22:00:06.906, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:07.007, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:07.108, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:07.209, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:07.309, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:07.410, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:07.511, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:07.612, 5, 24576, 384, 23874, 9, 0
2025/01/04 22:00:07.713, 5, 24576, 384, 23874, 7, 0
2025/01/04 22:00:07.814, 5, 24576, 384, 23874, 7, 0
2025/01/04 22:00:07.914, 5, 24576, 384, 23874, 8, 0
2025/01/04 22:00:08.015, 5, 24576, 384, 23874, 8, 0
2025/01/04 22:00:08.116, 5, 24576, 384, 23874, 8, 0
