timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/04 22:06:46.784, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:06:46.885, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:06:46.985, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:06:47.086, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:06:47.186, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:06:47.287, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:06:47.388, 5, 24576, 372, 23886, 0, 0
2025/01/04 22:06:47.489, 5, 24576, 428, 23830, 0, 0
2025/01/04 22:06:47.590, 5, 24576, 596, 23662, 9, 0
2025/01/04 22:06:47.691, 5, 24576, 596, 23662, 9, 0
2025/01/04 22:06:47.792, 5, 24576, 596, 23662, 1, 0
2025/01/04 22:06:47.893, 5, 24576, 596, 23662, 1, 0
2025/01/04 22:06:47.994, 5, 24576, 596, 23662, 0, 0
2025/01/04 22:06:48.094, 5, 24576, 596, 23662, 0, 0
2025/01/04 22:06:48.195, 5, 24576, 628, 23630, 3, 1
2025/01/04 22:06:48.296, 5, 24576, 628, 23630, 3, 1
2025/01/04 22:06:48.397, 5, 24576, 628, 23630, 22, 6
2025/01/04 22:06:48.497, 5, 24576, 628, 23630, 22, 6
2025/01/04 22:06:48.598, 5, 24576, 628, 23630, 23, 6
2025/01/04 22:06:48.699, 5, 24576, 628, 23630, 23, 6
2025/01/04 22:06:48.800, 5, 24576, 628, 23630, 23, 6
2025/01/04 22:06:48.901, 5, 24576, 628, 23630, 23, 6
2025/01/04 22:06:49.001, 5, 24576, 628, 23630, 25, 6
2025/01/04 22:06:49.102, 5, 24576, 628, 23630, 25, 6
2025/01/04 22:06:49.203, 5, 24576, 628, 23630, 25, 6
2025/01/04 22:06:49.304, 5, 24576, 628, 23630, 25, 6
2025/01/04 22:06:49.405, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:49.506, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:49.607, 5, 24576, 628, 23630, 23, 6
2025/01/04 22:06:49.708, 5, 24576, 628, 23630, 23, 6
2025/01/04 22:06:49.808, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:49.909, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:50.010, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:50.111, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:50.211, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:50.313, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:50.413, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:50.514, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:50.615, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:50.716, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:50.816, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:50.917, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:51.018, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:51.119, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:51.220, 5, 24576, 628, 23630, 23, 6
2025/01/04 22:06:51.320, 5, 24576, 628, 23630, 23, 6
2025/01/04 22:06:51.421, 5, 24576, 628, 23630, 23, 6
2025/01/04 22:06:51.522, 5, 24576, 628, 23630, 23, 6
2025/01/04 22:06:51.622, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:51.723, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:51.824, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:51.925, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:52.028, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:52.129, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:52.229, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:52.330, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:52.431, 5, 24576, 628, 23630, 24, 6
2025/01/04 22:06:52.531, 5, 24576, 628, 23630, 22, 6
2025/01/04 22:06:52.632, 5, 24576, 628, 23630, 22, 6
