timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/04 21:46:41.366, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:46:41.467, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:46:41.567, 5, 24576, 398, 23860, 0, 0
2025/01/04 21:46:41.668, 5, 24576, 402, 23856, 0, 0
2025/01/04 21:46:41.769, 5, 24576, 402, 23856, 1, 0
2025/01/04 21:46:41.870, 5, 24576, 402, 23856, 1, 0
2025/01/04 21:46:41.970, 5, 24576, 402, 23856, 0, 0
2025/01/04 21:46:42.071, 5, 24576, 402, 23856, 0, 0
2025/01/04 21:46:42.172, 5, 24576, 402, 23856, 0, 0
2025/01/04 21:46:42.273, 5, 24576, 402, 23856, 0, 0
2025/01/04 21:46:42.373, 5, 24576, 410, 23848, 0, 0
2025/01/04 21:46:42.474, 5, 24576, 412, 23846, 0, 0
2025/01/04 21:46:42.575, 5, 24576, 412, 23846, 1, 0
2025/01/04 21:46:42.675, 5, 24576, 412, 23846, 1, 0
2025/01/04 21:46:42.776, 5, 24576, 414, 23844, 1, 0
2025/01/04 21:46:42.877, 5, 24576, 572, 23686, 1, 0
2025/01/04 21:46:42.978, 5, 24576, 572, 23686, 5, 0
2025/01/04 21:46:43.078, 5, 24576, 572, 23686, 5, 0
2025/01/04 21:46:43.179, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:43.280, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:43.381, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:43.482, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:43.583, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:43.684, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:43.785, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:43.885, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:43.986, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:44.087, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:44.188, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:44.289, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:44.389, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:44.490, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:44.591, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:44.691, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:44.792, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:44.893, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:44.994, 5, 24576, 572, 23686, 9, 1
2025/01/04 21:46:45.095, 5, 24576, 572, 23686, 9, 1
2025/01/04 21:46:45.195, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:45.296, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:45.397, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:45.497, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:45.598, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:45.699, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:45.800, 5, 24576, 572, 23686, 11, 1
2025/01/04 21:46:45.901, 5, 24576, 572, 23686, 11, 1
2025/01/04 21:46:46.003, 5, 24576, 572, 23686, 11, 1
2025/01/04 21:46:46.104, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:46.209, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:46.310, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:46.411, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:46.511, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:46.612, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:46.713, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:46.814, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:46.914, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:47.015, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:47.116, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:47.217, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:47.318, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:47.419, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:47.520, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:47.621, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:47.722, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:47.823, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:47.923, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:48.024, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:48.125, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:48.225, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:48.326, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:48.427, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:48.527, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:48.628, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:48.729, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:48.830, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:48.930, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:49.031, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:49.132, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:49.233, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:49.333, 5, 24576, 572, 23686, 9, 1
2025/01/04 21:46:49.434, 5, 24576, 572, 23686, 9, 1
2025/01/04 21:46:49.535, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:49.636, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:49.736, 5, 24576, 572, 23686, 10, 1
2025/01/04 21:46:49.837, 5, 24576, 572, 23686, 10, 1
