timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/04 21:39:59.535, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:39:59.636, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:39:59.737, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:39:59.837, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:39:59.938, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:40:00.038, 5, 24576, 514, 23744, 4, 0
2025/01/04 21:40:00.139, 5, 24576, 518, 23740, 4, 0
2025/01/04 21:40:00.240, 5, 24576, 518, 23740, 1, 0
2025/01/04 21:40:00.341, 5, 24576, 518, 23740, 1, 0
2025/01/04 21:40:00.441, 5, 24576, 518, 23740, 0, 0
2025/01/04 21:40:00.542, 5, 24576, 518, 23740, 0, 0
2025/01/04 21:40:00.643, 5, 24576, 518, 23740, 0, 0
2025/01/04 21:40:00.743, 5, 24576, 518, 23740, 0, 0
2025/01/04 21:40:00.844, 5, 24576, 526, 23732, 0, 0
2025/01/04 21:40:00.945, 5, 24576, 526, 23732, 0, 0
2025/01/04 21:40:01.046, 5, 24576, 528, 23730, 1, 0
2025/01/04 21:40:01.147, 5, 24576, 528, 23730, 1, 0
2025/01/04 21:40:01.248, 5, 24576, 554, 23704, 1, 0
2025/01/04 21:40:01.348, 5, 24576, 746, 23512, 1, 0
2025/01/04 21:40:01.449, 5, 24576, 746, 23512, 23, 12
2025/01/04 21:40:01.550, 5, 24576, 746, 23512, 23, 12
2025/01/04 21:40:01.651, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:01.751, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:01.852, 5, 24576, 746, 23512, 37, 19
2025/01/04 21:40:01.953, 5, 24576, 746, 23512, 37, 19
2025/01/04 21:40:02.053, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:02.155, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:02.255, 5, 24576, 746, 23512, 35, 18
2025/01/04 21:40:02.356, 5, 24576, 746, 23512, 35, 18
2025/01/04 21:40:02.457, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:02.558, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:02.658, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:02.759, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:02.860, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:02.961, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:03.061, 5, 24576, 746, 23512, 36, 19
2025/01/04 21:40:03.162, 5, 24576, 746, 23512, 36, 19
2025/01/04 21:40:03.263, 5, 24576, 746, 23512, 30, 15
2025/01/04 21:40:03.364, 5, 24576, 746, 23512, 30, 15
2025/01/04 21:40:03.465, 5, 24576, 746, 23512, 32, 16
2025/01/04 21:40:03.566, 5, 24576, 746, 23512, 32, 16
2025/01/04 21:40:03.667, 5, 24576, 746, 23512, 35, 18
2025/01/04 21:40:03.768, 5, 24576, 746, 23512, 35, 18
2025/01/04 21:40:03.868, 5, 24576, 746, 23512, 33, 17
2025/01/04 21:40:03.969, 5, 24576, 746, 23512, 33, 17
2025/01/04 21:40:04.070, 5, 24576, 746, 23512, 36, 19
2025/01/04 21:40:04.171, 5, 24576, 746, 23512, 36, 19
2025/01/04 21:40:04.271, 5, 24576, 746, 23512, 35, 18
2025/01/04 21:40:04.372, 5, 24576, 746, 23512, 35, 18
2025/01/04 21:40:04.473, 5, 24576, 746, 23512, 36, 19
2025/01/04 21:40:04.573, 5, 24576, 746, 23512, 36, 19
2025/01/04 21:40:04.674, 5, 24576, 746, 23512, 35, 18
2025/01/04 21:40:04.775, 5, 24576, 746, 23512, 35, 18
2025/01/04 21:40:04.875, 5, 24576, 746, 23512, 35, 18
2025/01/04 21:40:04.976, 5, 24576, 746, 23512, 35, 18
2025/01/04 21:40:05.077, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:05.178, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:05.278, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:05.379, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:05.480, 5, 24576, 746, 23512, 36, 19
2025/01/04 21:40:05.581, 5, 24576, 746, 23512, 36, 19
2025/01/04 21:40:05.681, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:05.782, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:05.883, 5, 24576, 746, 23512, 35, 18
2025/01/04 21:40:05.984, 5, 24576, 746, 23512, 35, 18
2025/01/04 21:40:06.085, 5, 24576, 746, 23512, 34, 18
2025/01/04 21:40:06.186, 5, 24576, 746, 23512, 34, 18
