timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/06 18:14:29.990, 1, 24576, 372, 23886, 0, 0
2025/01/06 18:14:30.090, 1, 24576, 372, 23886, 0, 0
2025/01/06 18:14:30.191, 1, 24576, 372, 23886, 0, 0
2025/01/06 18:14:30.292, 1, 24576, 372, 23886, 0, 0
2025/01/06 18:14:30.392, 1, 24576, 372, 23886, 0, 0
2025/01/06 18:14:30.493, 1, 24576, 372, 23886, 0, 0
2025/01/06 18:14:30.594, 1, 24576, 372, 23886, 0, 0
2025/01/06 18:14:30.694, 1, 24576, 474, 23784, 0, 0
2025/01/06 18:14:30.795, 1, 24576, 580, 23678, 0, 0
2025/01/06 18:14:30.896, 1, 24576, 584, 23674, 8, 0
2025/01/06 18:14:30.996, 1, 24576, 584, 23674, 8, 0
2025/01/06 18:14:31.097, 1, 24576, 584, 23674, 0, 0
2025/01/06 18:14:31.198, 1, 24576, 584, 23674, 0, 0
2025/01/06 18:14:31.299, 1, 24576, 592, 23666, 0, 0
2025/01/06 18:14:31.400, 1, 24576, 592, 23666, 0, 0
2025/01/06 18:14:31.501, 1, 24576, 594, 23664, 1, 0
2025/01/06 18:14:31.601, 1, 24576, 594, 23664, 1, 0
2025/01/06 18:14:31.702, 1, 24576, 1718, 22540, 1, 0
2025/01/06 18:14:31.803, 1, 24576, 1718, 22540, 1, 0
2025/01/06 18:14:31.904, 1, 24576, 1718, 22540, 47, 26
2025/01/06 18:14:32.005, 1, 24576, 1718, 22540, 47, 26
2025/01/06 18:14:32.106, 1, 24576, 1718, 22540, 66, 40
2025/01/06 18:14:32.207, 1, 24576, 1718, 22540, 66, 40
2025/01/06 18:14:32.308, 1, 24576, 1718, 22540, 65, 39
2025/01/06 18:14:32.410, 1, 24576, 1718, 22540, 65, 39
2025/01/06 18:14:32.510, 1, 24576, 1718, 22540, 62, 38
2025/01/06 18:14:32.611, 1, 24576, 1718, 22540, 62, 38
2025/01/06 18:14:32.712, 1, 24576, 1718, 22540, 66, 40
2025/01/06 18:14:32.813, 1, 24576, 1718, 22540, 66, 40
2025/01/06 18:14:32.913, 1, 24576, 1718, 22540, 67, 41
2025/01/06 18:14:33.014, 1, 24576, 1718, 22540, 67, 41
2025/01/06 18:14:33.115, 1, 24576, 1718, 22540, 67, 41
2025/01/06 18:14:33.216, 1, 24576, 1718, 22540, 67, 41
2025/01/06 18:14:33.316, 1, 24576, 1718, 22540, 65, 40
2025/01/06 18:14:33.417, 1, 24576, 1718, 22540, 65, 40
2025/01/06 18:14:33.518, 1, 24576, 1718, 22540, 66, 41
2025/01/06 18:14:33.619, 1, 24576, 1718, 22540, 66, 41
2025/01/06 18:14:33.719, 1, 24576, 1718, 22540, 65, 40
2025/01/06 18:14:33.820, 1, 24576, 1718, 22540, 65, 40
2025/01/06 18:14:33.921, 1, 24576, 1718, 22540, 63, 39
2025/01/06 18:14:34.021, 1, 24576, 1718, 22540, 63, 39
2025/01/06 18:14:34.122, 1, 24576, 1718, 22540, 65, 39
2025/01/06 18:14:34.223, 1, 24576, 1718, 22540, 65, 39
2025/01/06 18:14:34.324, 1, 24576, 1718, 22540, 65, 40
2025/01/06 18:14:34.425, 1, 24576, 1718, 22540, 65, 40
2025/01/06 18:14:34.526, 1, 24576, 1718, 22540, 64, 40
2025/01/06 18:14:34.627, 1, 24576, 1718, 22540, 64, 40
2025/01/06 18:14:34.728, 1, 24576, 1718, 22540, 65, 40
2025/01/06 18:14:34.829, 1, 24576, 1718, 22540, 65, 40
2025/01/06 18:14:34.930, 1, 24576, 1718, 22540, 67, 41
2025/01/06 18:14:35.030, 1, 24576, 1718, 22540, 67, 41
2025/01/06 18:14:35.131, 1, 24576, 1718, 22540, 67, 41
2025/01/06 18:14:35.232, 1, 24576, 1718, 22540, 67, 41
2025/01/06 18:14:35.332, 1, 24576, 1718, 22540, 64, 39
2025/01/06 18:14:35.433, 1, 24576, 1718, 22540, 64, 39
2025/01/06 18:14:35.535, 1, 24576, 1718, 22540, 64, 39
2025/01/06 18:14:35.635, 1, 24576, 1718, 22540, 64, 39
2025/01/06 18:14:35.736, 1, 24576, 1718, 22540, 64, 39
2025/01/06 18:14:35.837, 1, 24576, 1718, 22540, 64, 39
2025/01/06 18:14:35.938, 1, 24576, 1718, 22540, 65, 40
2025/01/06 18:14:36.038, 1, 24576, 1718, 22540, 65, 40
2025/01/06 18:14:36.139, 1, 24576, 1718, 22540, 63, 39
2025/01/06 18:14:36.240, 1, 24576, 1718, 22540, 63, 39
2025/01/06 18:14:36.341, 1, 24576, 1718, 22540, 65, 40
2025/01/06 18:14:36.441, 1, 24576, 1718, 22540, 65, 40
2025/01/06 18:14:36.542, 1, 24576, 1718, 22540, 70, 43
2025/01/06 18:14:36.643, 1, 24576, 1718, 22540, 71, 44
