timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/04 21:33:17.737, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:33:17.838, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:33:17.939, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:33:18.039, 5, 24576, 372, 23886, 0, 0
2025/01/04 21:33:18.140, 5, 24576, 516, 23742, 0, 0
2025/01/04 21:33:18.241, 5, 24576, 520, 23738, 6, 0
2025/01/04 21:33:18.341, 5, 24576, 520, 23738, 6, 0
2025/01/04 21:33:18.442, 5, 24576, 520, 23738, 0, 0
2025/01/04 21:33:18.543, 5, 24576, 520, 23738, 0, 0
2025/01/04 21:33:18.644, 5, 24576, 520, 23738, 0, 0
2025/01/04 21:33:18.744, 5, 24576, 520, 23738, 0, 0
2025/01/04 21:33:18.845, 5, 24576, 520, 23738, 0, 0
2025/01/04 21:33:18.946, 5, 24576, 528, 23730, 0, 0
2025/01/04 21:33:19.047, 5, 24576, 528, 23730, 0, 0
2025/01/04 21:33:19.147, 5, 24576, 530, 23728, 0, 0
2025/01/04 21:33:19.248, 5, 24576, 530, 23728, 1, 0
2025/01/04 21:33:19.349, 5, 24576, 574, 23684, 1, 0
2025/01/04 21:33:19.450, 5, 24576, 574, 23684, 4, 1
2025/01/04 21:33:19.551, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:19.658, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:19.759, 5, 24576, 574, 23684, 22, 6
2025/01/04 21:33:19.859, 5, 24576, 574, 23684, 22, 6
2025/01/04 21:33:19.960, 5, 24576, 574, 23684, 24, 6
2025/01/04 21:33:20.061, 5, 24576, 574, 23684, 24, 6
2025/01/04 21:33:20.161, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:20.262, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:20.363, 5, 24576, 574, 23684, 26, 7
2025/01/04 21:33:20.463, 5, 24576, 574, 23684, 26, 7
2025/01/04 21:33:20.564, 5, 24576, 574, 23684, 26, 7
2025/01/04 21:33:20.665, 5, 24576, 574, 23684, 26, 7
2025/01/04 21:33:20.766, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:20.866, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:20.967, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:21.068, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:21.168, 5, 24576, 574, 23684, 21, 6
2025/01/04 21:33:21.269, 5, 24576, 574, 23684, 21, 6
2025/01/04 21:33:21.370, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:21.471, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:21.572, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:21.673, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:21.773, 5, 24576, 574, 23684, 22, 6
2025/01/04 21:33:21.874, 5, 24576, 574, 23684, 22, 6
2025/01/04 21:33:21.975, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:22.076, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:22.177, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:22.278, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:22.378, 5, 24576, 574, 23684, 22, 6
2025/01/04 21:33:22.479, 5, 24576, 574, 23684, 22, 6
2025/01/04 21:33:22.580, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:22.681, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:22.782, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:22.883, 5, 24576, 574, 23684, 23, 6
2025/01/04 21:33:22.983, 5, 24576, 574, 23684, 22, 6
2025/01/04 21:33:23.084, 5, 24576, 574, 23684, 22, 6
2025/01/04 21:33:23.185, 5, 24576, 574, 23684, 22, 6
2025/01/04 21:33:23.285, 5, 24576, 574, 23684, 22, 6
2025/01/04 21:33:23.386, 5, 24576, 574, 23684, 22, 6
2025/01/04 21:33:23.487, 5, 24576, 574, 23684, 22, 6
2025/01/04 21:33:23.588, 5, 24576, 574, 23684, 21, 6
