timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/11 10:43:47.393, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:47.493, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:47.594, 4, 24576, 42, 24216, 1, 0
2025/01/11 10:43:47.695, 4, 24576, 42, 24216, 1, 0
2025/01/11 10:43:47.796, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:47.897, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:47.998, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:48.099, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:48.200, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:48.300, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:48.401, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:48.502, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:48.603, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:48.703, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:48.804, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:48.905, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:49.006, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:49.107, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:49.208, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:49.309, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:49.410, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:49.510, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:49.611, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:49.712, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:49.813, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:49.913, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:50.014, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:50.115, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:50.216, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:50.316, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:50.417, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:50.518, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:50.619, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:50.719, 4, 24576, 42, 24216, 0, 0
2025/01/11 10:43:50.820, 4, 24576, 52, 24206, 0, 0
2025/01/11 10:43:50.930, 4, 24576, 344, 23914, 0, 0
2025/01/11 10:43:51.031, 4, 24576, 388, 23870, 6, 0
2025/01/11 10:43:51.132, 4, 24576, 428, 23830, 6, 0
2025/01/11 10:43:51.233, 4, 24576, 486, 23772, 5, 0
2025/01/11 10:43:51.334, 4, 24576, 522, 23736, 5, 0
2025/01/11 10:43:51.435, 4, 24576, 558, 23700, 7, 0
2025/01/11 10:43:51.535, 4, 24576, 592, 23666, 7, 0
2025/01/11 10:43:51.636, 4, 24576, 626, 23632, 4, 0
2025/01/11 10:43:51.737, 4, 24576, 660, 23598, 4, 0
2025/01/11 10:43:51.837, 4, 24576, 698, 23560, 4, 0
2025/01/11 10:43:51.938, 4, 24576, 790, 23468, 4, 0
2025/01/11 10:43:52.039, 4, 24576, 1010, 23248, 8, 0
2025/01/11 10:43:52.139, 4, 24576, 1160, 23098, 8, 0
2025/01/11 10:43:52.240, 4, 24576, 1194, 23064, 12, 0
2025/01/11 10:43:52.341, 4, 24576, 1226, 23032, 12, 0
2025/01/11 10:43:52.441, 4, 24576, 1268, 22990, 4, 0
2025/01/11 10:43:52.542, 4, 24576, 1308, 22950, 4, 0
2025/01/11 10:43:52.643, 4, 24576, 1346, 22912, 4, 0
2025/01/11 10:43:52.744, 4, 24576, 1386, 22872, 4, 0
2025/01/11 10:43:52.844, 4, 24576, 1424, 22834, 4, 0
2025/01/11 10:43:52.945, 4, 24576, 1462, 22796, 4, 0
2025/01/11 10:43:53.045, 4, 24576, 1496, 22762, 4, 0
2025/01/11 10:43:53.146, 4, 24576, 2416, 21842, 4, 0
2025/01/11 10:43:53.247, 4, 24576, 2416, 21842, 30, 9
2025/01/11 10:43:53.347, 4, 24576, 2416, 21842, 30, 9
2025/01/11 10:43:53.448, 4, 24576, 2416, 21842, 67, 23
2025/01/11 10:43:53.549, 4, 24576, 2416, 21842, 67, 23
2025/01/11 10:43:53.650, 4, 24576, 2416, 21842, 61, 22
2025/01/11 10:43:53.751, 4, 24576, 2416, 21842, 61, 22
2025/01/11 10:43:53.852, 4, 24576, 2416, 21842, 61, 22
2025/01/11 10:43:53.953, 4, 24576, 2416, 21842, 61, 22
2025/01/11 10:43:54.054, 4, 24576, 2416, 21842, 52, 19
2025/01/11 10:43:54.155, 4, 24576, 2416, 21842, 52, 19
2025/01/11 10:43:54.255, 4, 24576, 2416, 21842, 59, 22
2025/01/11 10:43:54.356, 4, 24576, 2416, 21842, 59, 22
2025/01/11 10:43:54.457, 4, 24576, 2416, 21842, 59, 21
2025/01/11 10:43:54.557, 4, 24576, 2416, 21842, 59, 21
2025/01/11 10:43:54.658, 4, 24576, 2416, 21842, 59, 22
2025/01/11 10:43:54.759, 4, 24576, 2416, 21842, 59, 22
2025/01/11 10:43:54.859, 4, 24576, 2416, 21842, 55, 20
2025/01/11 10:43:54.960, 4, 24576, 2416, 21842, 55, 20
2025/01/11 10:43:55.061, 4, 24576, 2416, 21842, 60, 22
2025/01/11 10:43:55.162, 4, 24576, 2416, 21842, 60, 22
2025/01/11 10:43:55.263, 4, 24576, 2416, 21842, 61, 22
2025/01/11 10:43:55.363, 4, 24576, 2416, 21842, 61, 22
2025/01/11 10:43:55.464, 4, 24576, 2416, 21842, 58, 21
2025/01/11 10:43:55.565, 4, 24576, 2416, 21842, 58, 21
2025/01/11 10:43:55.666, 4, 24576, 2416, 21842, 54, 20
2025/01/11 10:43:55.766, 4, 24576, 2416, 21842, 54, 20
2025/01/11 10:43:55.867, 4, 24576, 2416, 21842, 54, 19
2025/01/11 10:43:55.968, 4, 24576, 2416, 21842, 63, 23
2025/01/11 10:43:56.072, 4, 24576, 2416, 21842, 63, 23
2025/01/11 10:43:56.173, 4, 24576, 2416, 21842, 59, 21
2025/01/11 10:43:56.274, 4, 24576, 2416, 21842, 59, 21
2025/01/11 10:43:56.374, 4, 24576, 2416, 21842, 56, 20
2025/01/11 10:43:56.475, 4, 24576, 2416, 21842, 56, 20
2025/01/11 10:43:56.576, 4, 24576, 2416, 21842, 58, 22
2025/01/11 10:43:56.676, 4, 24576, 2416, 21842, 58, 22
2025/01/11 10:43:56.777, 4, 24576, 2416, 21842, 62, 22
2025/01/11 10:43:56.878, 4, 24576, 2416, 21842, 62, 22
2025/01/11 10:43:56.978, 4, 24576, 2416, 21842, 55, 20
2025/01/11 10:43:57.079, 4, 24576, 2416, 21842, 55, 20
2025/01/11 10:43:57.180, 4, 24576, 2416, 21842, 60, 22
2025/01/11 10:43:57.281, 4, 24576, 2416, 21842, 60, 22
2025/01/11 10:43:57.382, 4, 24576, 2416, 21842, 61, 22
2025/01/11 10:43:57.482, 4, 24576, 2416, 21842, 61, 22
2025/01/11 10:43:57.583, 4, 24576, 2416, 21842, 56, 20
2025/01/11 10:43:57.684, 4, 24576, 2416, 21842, 56, 20
2025/01/11 10:43:57.784, 4, 24576, 2416, 21842, 60, 22
2025/01/11 10:43:57.885, 4, 24576, 2416, 21842, 60, 22
2025/01/11 10:43:57.986, 4, 24576, 2416, 21842, 61, 22
2025/01/11 10:43:58.087, 4, 24576, 2416, 21842, 61, 22
2025/01/11 10:43:58.187, 4, 24576, 2416, 21842, 57, 21
2025/01/11 10:43:58.288, 4, 24576, 2416, 21842, 57, 21
2025/01/11 10:43:58.389, 4, 24576, 2416, 21842, 61, 22
2025/01/11 10:43:58.490, 4, 24576, 2416, 21842, 61, 22
2025/01/11 10:43:58.591, 4, 24576, 2816, 21442, 60, 22
2025/01/11 10:43:58.692, 4, 24576, 3176, 21082, 60, 22
2025/01/11 10:43:58.793, 4, 24576, 3176, 21082, 57, 24
2025/01/11 10:43:58.894, 4, 24576, 3176, 21082, 57, 24
2025/01/11 10:43:58.995, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:43:59.096, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:43:59.196, 4, 24576, 3176, 21082, 57, 21
2025/01/11 10:43:59.297, 4, 24576, 3176, 21082, 57, 21
2025/01/11 10:43:59.398, 4, 24576, 3176, 21082, 56, 20
2025/01/11 10:43:59.498, 4, 24576, 3176, 21082, 56, 20
2025/01/11 10:43:59.599, 4, 24576, 3176, 21082, 56, 20
2025/01/11 10:43:59.700, 4, 24576, 3176, 21082, 56, 20
2025/01/11 10:43:59.801, 4, 24576, 3176, 21082, 53, 19
2025/01/11 10:43:59.901, 4, 24576, 3176, 21082, 53, 19
2025/01/11 10:44:00.002, 4, 24576, 3176, 21082, 50, 18
2025/01/11 10:44:00.103, 4, 24576, 3176, 21082, 50, 18
2025/01/11 10:44:00.203, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:44:00.304, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:44:00.405, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:00.505, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:00.606, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:00.707, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:00.808, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:44:00.909, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:44:01.010, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:01.111, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:01.212, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:01.312, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:01.413, 4, 24576, 3176, 21082, 57, 20
2025/01/11 10:44:01.514, 4, 24576, 3176, 21082, 57, 20
2025/01/11 10:44:01.614, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:44:01.715, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:44:01.816, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:01.917, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:02.017, 4, 24576, 3176, 21082, 60, 21
2025/01/11 10:44:02.118, 4, 24576, 3176, 21082, 60, 21
2025/01/11 10:44:02.218, 4, 24576, 3176, 21082, 57, 21
2025/01/11 10:44:02.319, 4, 24576, 3176, 21082, 57, 21
2025/01/11 10:44:02.420, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:44:02.520, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:44:02.621, 4, 24576, 3176, 21082, 56, 20
2025/01/11 10:44:02.722, 4, 24576, 3176, 21082, 56, 20
2025/01/11 10:44:02.823, 4, 24576, 3176, 21082, 59, 22
2025/01/11 10:44:02.923, 4, 24576, 3176, 21082, 59, 22
2025/01/11 10:44:03.024, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:03.124, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:03.225, 4, 24576, 3176, 21082, 51, 18
2025/01/11 10:44:03.326, 4, 24576, 3176, 21082, 51, 18
2025/01/11 10:44:03.427, 4, 24576, 3176, 21082, 46, 16
2025/01/11 10:44:03.528, 4, 24576, 3176, 21082, 46, 16
2025/01/11 10:44:03.629, 4, 24576, 3176, 21082, 52, 18
2025/01/11 10:44:03.730, 4, 24576, 3176, 21082, 52, 18
2025/01/11 10:44:03.830, 4, 24576, 3176, 21082, 47, 17
2025/01/11 10:44:03.931, 4, 24576, 3176, 21082, 47, 17
2025/01/11 10:44:04.032, 4, 24576, 3176, 21082, 51, 18
2025/01/11 10:44:04.132, 4, 24576, 3176, 21082, 51, 18
2025/01/11 10:44:04.233, 4, 24576, 3176, 21082, 51, 18
2025/01/11 10:44:04.334, 4, 24576, 3176, 21082, 51, 18
2025/01/11 10:44:04.435, 4, 24576, 3176, 21082, 50, 18
2025/01/11 10:44:04.535, 4, 24576, 3176, 21082, 50, 18
2025/01/11 10:44:04.637, 4, 24576, 3176, 21082, 51, 21
2025/01/11 10:44:04.738, 4, 24576, 3176, 21082, 51, 21
2025/01/11 10:44:04.838, 4, 24576, 3176, 21082, 51, 18
2025/01/11 10:44:04.939, 4, 24576, 3176, 21082, 51, 18
2025/01/11 10:44:05.040, 4, 24576, 3176, 21082, 52, 19
2025/01/11 10:44:05.141, 4, 24576, 3176, 21082, 52, 19
2025/01/11 10:44:05.241, 4, 24576, 3176, 21082, 52, 19
2025/01/11 10:44:05.342, 4, 24576, 3176, 21082, 52, 19
2025/01/11 10:44:05.443, 4, 24576, 3176, 21082, 52, 19
2025/01/11 10:44:05.543, 4, 24576, 3176, 21082, 52, 19
2025/01/11 10:44:05.644, 4, 24576, 3176, 21082, 51, 18
2025/01/11 10:44:05.746, 4, 24576, 3176, 21082, 51, 18
2025/01/11 10:44:05.847, 4, 24576, 3176, 21082, 50, 18
2025/01/11 10:44:05.947, 4, 24576, 3176, 21082, 50, 18
2025/01/11 10:44:06.048, 4, 24576, 3176, 21082, 47, 17
2025/01/11 10:44:06.149, 4, 24576, 3176, 21082, 47, 17
2025/01/11 10:44:06.250, 4, 24576, 3176, 21082, 50, 18
2025/01/11 10:44:06.350, 4, 24576, 3176, 21082, 50, 18
2025/01/11 10:44:06.451, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:06.552, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:06.652, 4, 24576, 3176, 21082, 60, 22
2025/01/11 10:44:06.753, 4, 24576, 3176, 21082, 60, 22
2025/01/11 10:44:06.854, 4, 24576, 3176, 21082, 56, 20
2025/01/11 10:44:06.955, 4, 24576, 3176, 21082, 56, 20
2025/01/11 10:44:07.055, 4, 24576, 3176, 21082, 59, 22
2025/01/11 10:44:07.156, 4, 24576, 3176, 21082, 59, 22
2025/01/11 10:44:07.257, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:07.358, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:07.458, 4, 24576, 3176, 21082, 57, 21
2025/01/11 10:44:07.559, 4, 24576, 3176, 21082, 57, 21
2025/01/11 10:44:07.660, 4, 24576, 3176, 21082, 57, 21
2025/01/11 10:44:07.762, 4, 24576, 3176, 21082, 57, 21
2025/01/11 10:44:07.863, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:07.964, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:44:08.067, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:44:08.168, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:08.269, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:08.370, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:08.471, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:08.572, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:44:08.672, 4, 24576, 3176, 21082, 59, 21
2025/01/11 10:44:08.773, 4, 24576, 3176, 21082, 56, 20
2025/01/11 10:44:08.874, 4, 24576, 3176, 21082, 56, 20
2025/01/11 10:44:08.974, 4, 24576, 3176, 21082, 59, 22
2025/01/11 10:44:09.075, 4, 24576, 3176, 21082, 59, 22
2025/01/11 10:44:09.176, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:09.277, 4, 24576, 3176, 21082, 58, 21
2025/01/11 10:44:09.377, 4, 24576, 3176, 21082, 60, 21
2025/01/11 10:44:09.478, 4, 24576, 3176, 21082, 60, 21
