timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/06 12:55:43.850, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:43.950, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:44.051, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:44.152, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:44.253, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:44.354, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:44.455, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:44.556, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:44.657, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:44.758, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:44.859, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:44.959, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:45.060, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:45.161, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:45.262, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:45.363, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:55:45.464, 5, 24576, 24, 24234, 0, 0
2025/01/06 12:55:45.578, 5, 24576, 326, 23932, 5, 0
2025/01/06 12:55:45.679, 5, 24576, 358, 23900, 5, 0
2025/01/06 12:55:45.779, 5, 24576, 392, 23866, 4, 0
2025/01/06 12:55:45.880, 5, 24576, 416, 23842, 4, 0
2025/01/06 12:55:45.981, 5, 24576, 452, 23806, 5, 0
2025/01/06 12:55:46.081, 5, 24576, 486, 23772, 5, 0
2025/01/06 12:55:46.182, 5, 24576, 524, 23734, 4, 0
2025/01/06 12:55:46.283, 5, 24576, 548, 23710, 4, 0
2025/01/06 12:55:46.383, 5, 24576, 594, 23664, 5, 0
2025/01/06 12:55:46.484, 5, 24576, 626, 23632, 5, 0
2025/01/06 12:55:46.585, 5, 24576, 666, 23592, 4, 0
2025/01/06 12:55:46.686, 5, 24576, 700, 23558, 4, 0
2025/01/06 12:55:46.786, 5, 24576, 702, 23556, 3, 0
2025/01/06 12:55:46.887, 5, 24576, 726, 23532, 3, 0
2025/01/06 12:55:46.988, 5, 24576, 762, 23496, 4, 0
2025/01/06 12:55:47.089, 5, 24576, 798, 23460, 4, 0
2025/01/06 12:55:47.190, 5, 24576, 836, 23422, 4, 0
2025/01/06 12:55:47.291, 5, 24576, 874, 23384, 4, 0
2025/01/06 12:55:47.391, 5, 24576, 910, 23348, 4, 0
2025/01/06 12:55:47.492, 5, 24576, 942, 23316, 4, 0
2025/01/06 12:55:47.593, 5, 24576, 986, 23272, 3, 0
2025/01/06 12:55:47.694, 5, 24576, 1016, 23242, 3, 0
2025/01/06 12:55:47.794, 5, 24576, 1054, 23204, 4, 0
2025/01/06 12:55:47.895, 5, 24576, 1072, 23186, 4, 0
2025/01/06 12:55:47.996, 5, 24576, 1072, 23186, 11, 0
2025/01/06 12:55:48.097, 5, 24576, 1072, 23186, 11, 0
2025/01/06 12:55:48.197, 5, 24576, 1072, 23186, 14, 0
2025/01/06 12:55:48.298, 5, 24576, 1072, 23186, 14, 0
2025/01/06 12:55:48.399, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:48.499, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:48.600, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:48.701, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:48.801, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:48.902, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:49.003, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:49.104, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:49.204, 5, 24576, 1072, 23186, 14, 0
2025/01/06 12:55:49.305, 5, 24576, 1072, 23186, 14, 0
2025/01/06 12:55:49.406, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:49.507, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:49.608, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:49.709, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:49.810, 5, 24576, 1072, 23186, 17, 0
2025/01/06 12:55:49.911, 5, 24576, 1072, 23186, 17, 0
2025/01/06 12:55:50.012, 5, 24576, 1072, 23186, 17, 0
2025/01/06 12:55:50.113, 5, 24576, 1072, 23186, 17, 0
2025/01/06 12:55:50.213, 5, 24576, 1072, 23186, 17, 0
2025/01/06 12:55:50.314, 5, 24576, 1072, 23186, 17, 0
2025/01/06 12:55:50.415, 5, 24576, 1072, 23186, 18, 0
2025/01/06 12:55:50.516, 5, 24576, 1072, 23186, 18, 0
2025/01/06 12:55:50.616, 5, 24576, 1072, 23186, 14, 0
2025/01/06 12:55:50.717, 5, 24576, 1072, 23186, 14, 0
2025/01/06 12:55:50.818, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:50.919, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:51.019, 5, 24576, 1072, 23186, 14, 0
2025/01/06 12:55:51.120, 5, 24576, 1072, 23186, 14, 0
2025/01/06 12:55:51.221, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:51.321, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:51.422, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:51.523, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:51.624, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:51.724, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:51.825, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:51.926, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:52.027, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:52.128, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:52.229, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:52.330, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:52.430, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:52.532, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:52.633, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:52.733, 5, 24576, 1072, 23186, 15, 0
2025/01/06 12:55:52.834, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:52.935, 5, 24576, 1072, 23186, 16, 0
2025/01/06 12:55:53.035, 5, 24576, 1072, 23186, 14, 0
2025/01/06 12:55:53.136, 5, 24576, 1072, 23186, 14, 0
