timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/11 11:14:56.007, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:56.108, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:56.209, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:56.310, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:56.410, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:56.511, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:56.613, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:56.714, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:56.815, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:56.915, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:57.016, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:57.117, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:57.218, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:57.318, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:57.419, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:57.520, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:57.620, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:57.721, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:57.822, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:57.923, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:14:58.023, 4, 24576, 52, 24206, 0, 0
2025/01/11 11:14:58.126, 4, 24576, 340, 23918, 0, 0
2025/01/11 11:14:58.227, 4, 24576, 340, 23918, 5, 0
2025/01/11 11:14:58.328, 4, 24576, 350, 23908, 5, 0
2025/01/11 11:14:58.428, 4, 24576, 396, 23862, 8, 0
2025/01/11 11:14:58.529, 4, 24576, 396, 23862, 8, 0
2025/01/11 11:14:58.630, 4, 24576, 398, 23860, 2, 0
2025/01/11 11:14:58.730, 4, 24576, 398, 23860, 2, 0
2025/01/11 11:14:58.831, 4, 24576, 624, 23634, 8, 0
2025/01/11 11:14:58.932, 4, 24576, 624, 23634, 8, 0
2025/01/11 11:14:59.033, 4, 24576, 624, 23634, 2, 0
2025/01/11 11:14:59.133, 4, 24576, 624, 23634, 2, 0
2025/01/11 11:14:59.234, 4, 24576, 624, 23634, 0, 0
2025/01/11 11:14:59.335, 4, 24576, 624, 23634, 0, 0
2025/01/11 11:14:59.436, 4, 24576, 624, 23634, 0, 0
2025/01/11 11:14:59.536, 4, 24576, 1262, 22996, 0, 0
2025/01/11 11:14:59.637, 4, 24576, 1262, 22996, 30, 12
2025/01/11 11:14:59.738, 4, 24576, 1262, 22996, 30, 12
2025/01/11 11:14:59.839, 4, 24576, 1262, 22996, 68, 29
2025/01/11 11:14:59.940, 4, 24576, 1262, 22996, 68, 29
2025/01/11 11:15:00.040, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:00.141, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:00.242, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:00.343, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:00.444, 4, 24576, 1262, 22996, 63, 28
2025/01/11 11:15:00.545, 4, 24576, 1262, 22996, 63, 28
2025/01/11 11:15:00.646, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:00.747, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:00.848, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:00.948, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:01.049, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:01.150, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:01.251, 4, 24576, 1262, 22996, 66, 30
2025/01/11 11:15:01.351, 4, 24576, 1262, 22996, 66, 30
2025/01/11 11:15:01.452, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:01.553, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:01.654, 4, 24576, 1262, 22996, 65, 29
2025/01/11 11:15:01.754, 4, 24576, 1262, 22996, 65, 29
2025/01/11 11:15:01.855, 4, 24576, 1262, 22996, 66, 30
2025/01/11 11:15:01.956, 4, 24576, 1262, 22996, 66, 30
2025/01/11 11:15:02.057, 4, 24576, 1262, 22996, 67, 30
2025/01/11 11:15:02.158, 4, 24576, 1262, 22996, 67, 30
2025/01/11 11:15:02.259, 4, 24576, 1262, 22996, 67, 30
2025/01/11 11:15:02.359, 4, 24576, 1262, 22996, 67, 30
2025/01/11 11:15:02.460, 4, 24576, 1262, 22996, 64, 28
2025/01/11 11:15:02.561, 4, 24576, 1262, 22996, 64, 28
2025/01/11 11:15:02.662, 4, 24576, 1262, 22996, 63, 28
2025/01/11 11:15:02.763, 4, 24576, 1262, 22996, 63, 28
2025/01/11 11:15:02.864, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:02.965, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:03.067, 4, 24576, 1262, 22996, 65, 29
2025/01/11 11:15:03.168, 4, 24576, 1262, 22996, 65, 29
2025/01/11 11:15:03.269, 4, 24576, 1262, 22996, 67, 30
2025/01/11 11:15:03.370, 4, 24576, 1262, 22996, 67, 30
2025/01/11 11:15:03.470, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:03.571, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:03.672, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:03.772, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:03.873, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:03.974, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:04.075, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:04.175, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:04.276, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:04.377, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:04.478, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:04.579, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:04.680, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:04.781, 4, 24576, 1262, 22996, 59, 26
2025/01/11 11:15:04.884, 4, 24576, 1262, 22996, 59, 26
2025/01/11 11:15:04.985, 4, 24576, 1262, 22996, 63, 28
2025/01/11 11:15:05.086, 4, 24576, 1262, 22996, 63, 28
2025/01/11 11:15:05.186, 4, 24576, 1262, 22996, 68, 30
2025/01/11 11:15:05.287, 4, 24576, 1262, 22996, 68, 30
2025/01/11 11:15:05.388, 4, 24576, 1262, 22996, 67, 30
2025/01/11 11:15:05.489, 4, 24576, 1262, 22996, 67, 30
2025/01/11 11:15:05.589, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:05.690, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:05.791, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:05.892, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:05.992, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:06.093, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:06.194, 4, 24576, 1262, 22996, 59, 26
2025/01/11 11:15:06.294, 4, 24576, 1262, 22996, 59, 26
2025/01/11 11:15:06.395, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:06.496, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:06.597, 4, 24576, 1262, 22996, 59, 26
2025/01/11 11:15:06.697, 4, 24576, 1262, 22996, 59, 26
2025/01/11 11:15:06.798, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:06.899, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:07.000, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:07.101, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:07.202, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:07.303, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:07.404, 4, 24576, 1262, 22996, 59, 26
2025/01/11 11:15:07.505, 4, 24576, 1262, 22996, 59, 26
2025/01/11 11:15:07.606, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:07.706, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:07.807, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:07.908, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:08.008, 4, 24576, 1262, 22996, 66, 29
2025/01/11 11:15:08.109, 4, 24576, 1262, 22996, 66, 29
2025/01/11 11:15:08.210, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:08.311, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:08.411, 4, 24576, 1262, 22996, 65, 29
2025/01/11 11:15:08.512, 4, 24576, 1262, 22996, 65, 29
2025/01/11 11:15:08.613, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:08.713, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:08.814, 4, 24576, 1262, 22996, 67, 30
2025/01/11 11:15:08.915, 4, 24576, 1262, 22996, 67, 30
2025/01/11 11:15:09.015, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:09.116, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:09.217, 4, 24576, 1262, 22996, 61, 28
2025/01/11 11:15:09.317, 4, 24576, 1262, 22996, 61, 28
2025/01/11 11:15:09.418, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:09.519, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:09.620, 4, 24576, 1262, 22996, 65, 29
2025/01/11 11:15:09.721, 4, 24576, 1262, 22996, 65, 29
2025/01/11 11:15:09.822, 4, 24576, 1262, 22996, 63, 27
2025/01/11 11:15:09.923, 4, 24576, 1262, 22996, 63, 27
2025/01/11 11:15:10.024, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:10.125, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:10.225, 4, 24576, 1262, 22996, 65, 29
2025/01/11 11:15:10.326, 4, 24576, 1262, 22996, 65, 29
2025/01/11 11:15:10.427, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:10.527, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:10.628, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:10.729, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:10.829, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:10.930, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:11.031, 4, 24576, 1262, 22996, 61, 28
2025/01/11 11:15:11.131, 4, 24576, 1262, 22996, 61, 28
2025/01/11 11:15:11.232, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:11.335, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:11.436, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:11.536, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:11.637, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:11.738, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:11.839, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:11.940, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:12.041, 4, 24576, 1262, 22996, 64, 28
2025/01/11 11:15:12.142, 4, 24576, 1262, 22996, 64, 28
2025/01/11 11:15:12.243, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:12.344, 4, 24576, 1262, 22996, 60, 27
2025/01/11 11:15:12.444, 4, 24576, 1262, 22996, 63, 28
2025/01/11 11:15:12.545, 4, 24576, 1262, 22996, 63, 28
2025/01/11 11:15:12.646, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:12.747, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:12.847, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:12.948, 4, 24576, 1262, 22996, 62, 27
2025/01/11 11:15:13.049, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:13.150, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:13.250, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:13.351, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:13.452, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:13.552, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:13.653, 4, 24576, 1262, 22996, 65, 29
2025/01/11 11:15:13.754, 4, 24576, 1262, 22996, 65, 29
2025/01/11 11:15:13.854, 4, 24576, 1262, 22996, 64, 28
2025/01/11 11:15:13.955, 4, 24576, 1262, 22996, 64, 28
2025/01/11 11:15:14.056, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:14.157, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:14.258, 4, 24576, 1262, 22996, 64, 28
2025/01/11 11:15:14.359, 4, 24576, 1262, 22996, 64, 28
2025/01/11 11:15:14.460, 4, 24576, 1262, 22996, 61, 28
2025/01/11 11:15:14.561, 4, 24576, 1262, 22996, 61, 28
2025/01/11 11:15:14.662, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:14.763, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:14.863, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:14.964, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:15.065, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:15.165, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:15.266, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:15.367, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:15.469, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:15.569, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:15.670, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:15.771, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:15.872, 4, 24576, 1262, 22996, 69, 30
2025/01/11 11:15:15.972, 4, 24576, 1262, 22996, 69, 30
2025/01/11 11:15:16.073, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:16.174, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:16.274, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:16.375, 4, 24576, 1262, 22996, 64, 29
2025/01/11 11:15:16.476, 4, 24576, 1262, 22996, 63, 28
2025/01/11 11:15:16.577, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:16.680, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:16.781, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:16.882, 4, 24576, 1262, 22996, 62, 28
2025/01/11 11:15:16.983, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:17.084, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:17.185, 4, 24576, 1262, 22996, 69, 31
2025/01/11 11:15:17.285, 4, 24576, 1262, 22996, 69, 31
2025/01/11 11:15:17.386, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:17.487, 4, 24576, 1262, 22996, 61, 27
2025/01/11 11:15:17.588, 4, 24576, 1262, 22996, 63, 28
2025/01/11 11:15:17.689, 4, 24576, 1262, 22996, 63, 28
2025/01/11 11:15:17.789, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:17.890, 4, 24576, 1262, 22996, 63, 29
2025/01/11 11:15:17.991, 4, 24576, 1262, 22996, 63, 28
2025/01/11 11:15:18.091, 4, 24576, 1262, 22996, 63, 28
