timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/06 12:29:06.481, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:06.582, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:06.682, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:06.783, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:06.884, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:06.985, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:07.086, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:07.186, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:07.287, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:07.388, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:07.489, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:07.590, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:07.691, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:07.791, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:07.892, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:07.993, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:29:08.094, 5, 24576, 14, 24244, 0, 0
2025/01/06 12:29:08.195, 5, 24576, 26, 24232, 0, 0
2025/01/06 12:29:08.304, 5, 24576, 312, 23946, 2, 0
2025/01/06 12:29:08.405, 5, 24576, 312, 23946, 2, 0
2025/01/06 12:29:08.505, 5, 24576, 312, 23946, 3, 0
2025/01/06 12:29:08.606, 5, 24576, 342, 23916, 3, 0
2025/01/06 12:29:08.707, 5, 24576, 368, 23890, 9, 0
2025/01/06 12:29:08.808, 5, 24576, 370, 23888, 9, 0
2025/01/06 12:29:08.909, 5, 24576, 398, 23860, 1, 0
2025/01/06 12:29:09.010, 5, 24576, 398, 23860, 1, 0
2025/01/06 12:29:09.110, 5, 24576, 398, 23860, 2, 0
2025/01/06 12:29:09.211, 5, 24576, 398, 23860, 2, 0
2025/01/06 12:29:09.312, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:09.412, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:09.513, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:09.614, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:09.715, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:09.815, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:09.916, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:10.017, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:10.117, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:10.218, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:10.319, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:10.419, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:10.520, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:10.621, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:10.721, 5, 24576, 398, 23860, 0, 0
2025/01/06 12:29:10.822, 5, 24576, 402, 23856, 0, 0
2025/01/06 12:29:10.923, 5, 24576, 402, 23856, 0, 0
2025/01/06 12:29:11.023, 5, 24576, 402, 23856, 0, 0
2025/01/06 12:29:11.124, 5, 24576, 402, 23856, 0, 0
2025/01/06 12:29:11.225, 5, 24576, 402, 23856, 0, 0
2025/01/06 12:29:11.326, 5, 24576, 410, 23848, 0, 0
2025/01/06 12:29:11.427, 5, 24576, 412, 23846, 0, 0
2025/01/06 12:29:11.528, 5, 24576, 412, 23846, 1, 0
2025/01/06 12:29:11.628, 5, 24576, 412, 23846, 1, 0
2025/01/06 12:29:11.729, 5, 24576, 680, 23578, 1, 0
2025/01/06 12:29:11.830, 5, 24576, 694, 23564, 1, 0
2025/01/06 12:29:11.931, 5, 24576, 694, 23564, 20, 5
2025/01/06 12:29:12.031, 5, 24576, 694, 23564, 20, 5
2025/01/06 12:29:12.132, 5, 24576, 694, 23564, 31, 8
2025/01/06 12:29:12.233, 5, 24576, 694, 23564, 31, 8
2025/01/06 12:29:12.334, 5, 24576, 694, 23564, 32, 8
2025/01/06 12:29:12.434, 5, 24576, 694, 23564, 32, 8
2025/01/06 12:29:12.535, 5, 24576, 694, 23564, 32, 8
2025/01/06 12:29:12.636, 5, 24576, 694, 23564, 32, 8
2025/01/06 12:29:12.736, 5, 24576, 694, 23564, 33, 8
2025/01/06 12:29:12.837, 5, 24576, 694, 23564, 33, 8
2025/01/06 12:29:12.938, 5, 24576, 694, 23564, 33, 8
2025/01/06 12:29:13.039, 5, 24576, 694, 23564, 33, 8
2025/01/06 12:29:13.139, 5, 24576, 694, 23564, 30, 7
2025/01/06 12:29:13.240, 5, 24576, 694, 23564, 30, 7
2025/01/06 12:29:13.341, 5, 24576, 694, 23564, 33, 8
2025/01/06 12:29:13.441, 5, 24576, 694, 23564, 33, 8
2025/01/06 12:29:13.542, 5, 24576, 694, 23564, 33, 8
2025/01/06 12:29:13.643, 5, 24576, 694, 23564, 33, 8
2025/01/06 12:29:13.743, 5, 24576, 694, 23564, 34, 8
2025/01/06 12:29:13.844, 5, 24576, 694, 23564, 34, 8
2025/01/06 12:29:13.945, 5, 24576, 694, 23564, 32, 8
2025/01/06 12:29:14.046, 5, 24576, 694, 23564, 32, 8
2025/01/06 12:29:14.147, 5, 24576, 694, 23564, 34, 8
2025/01/06 12:29:14.248, 5, 24576, 694, 23564, 34, 8
2025/01/06 12:29:14.348, 5, 24576, 694, 23564, 31, 8
2025/01/06 12:29:14.449, 5, 24576, 694, 23564, 31, 8
2025/01/06 12:29:14.550, 5, 24576, 694, 23564, 32, 8
2025/01/06 12:29:14.651, 5, 24576, 694, 23564, 32, 8
2025/01/06 12:29:14.751, 5, 24576, 694, 23564, 31, 8
2025/01/06 12:29:14.852, 5, 24576, 694, 23564, 31, 8
2025/01/06 12:29:14.953, 5, 24576, 694, 23564, 33, 8
2025/01/06 12:29:15.053, 5, 24576, 694, 23564, 33, 8
2025/01/06 12:29:15.154, 5, 24576, 694, 23564, 31, 8
2025/01/06 12:29:15.255, 5, 24576, 694, 23564, 31, 8
2025/01/06 12:29:15.356, 5, 24576, 694, 23564, 31, 8
2025/01/06 12:29:15.456, 5, 24576, 694, 23564, 31, 8
2025/01/06 12:29:15.557, 5, 24576, 694, 23564, 27, 6
