timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/11 11:01:48.042, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:48.143, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:48.244, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:48.345, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:48.446, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:48.546, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:48.647, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:48.748, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:48.849, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:48.951, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:49.052, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:49.153, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:49.253, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:49.357, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:49.457, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:49.558, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:49.659, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:49.760, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:49.860, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:49.961, 4, 24576, 42, 24216, 0, 0
2025/01/11 11:01:50.062, 4, 24576, 52, 24206, 0, 0
2025/01/11 11:01:50.166, 4, 24576, 340, 23918, 0, 0
2025/01/11 11:01:50.267, 4, 24576, 356, 23902, 5, 0
2025/01/11 11:01:50.368, 4, 24576, 396, 23862, 5, 0
2025/01/11 11:01:50.469, 4, 24576, 396, 23862, 9, 0
2025/01/11 11:01:50.570, 4, 24576, 398, 23860, 9, 0
2025/01/11 11:01:50.671, 4, 24576, 398, 23860, 1, 0
2025/01/11 11:01:50.772, 4, 24576, 398, 23860, 1, 0
2025/01/11 11:01:50.873, 4, 24576, 516, 23742, 5, 0
2025/01/11 11:01:50.974, 4, 24576, 516, 23742, 5, 0
2025/01/11 11:01:51.074, 4, 24576, 542, 23716, 0, 0
2025/01/11 11:01:51.175, 4, 24576, 546, 23712, 0, 0
2025/01/11 11:01:51.277, 4, 24576, 546, 23712, 0, 0
2025/01/11 11:01:51.377, 4, 24576, 546, 23712, 0, 0
2025/01/11 11:01:51.478, 4, 24576, 546, 23712, 0, 0
2025/01/11 11:01:51.579, 4, 24576, 546, 23712, 0, 0
2025/01/11 11:01:51.680, 4, 24576, 554, 23704, 0, 0
2025/01/11 11:01:51.780, 4, 24576, 554, 23704, 0, 0
2025/01/11 11:01:51.881, 4, 24576, 556, 23702, 0, 0
2025/01/11 11:01:51.982, 4, 24576, 556, 23702, 0, 0
2025/01/11 11:01:52.082, 4, 24576, 1356, 22902, 1, 0
2025/01/11 11:01:52.183, 4, 24576, 1512, 22746, 1, 0
2025/01/11 11:01:52.284, 4, 24576, 1650, 22608, 28, 15
2025/01/11 11:01:52.385, 4, 24576, 1650, 22608, 28, 15
2025/01/11 11:01:52.486, 4, 24576, 1650, 22608, 69, 38
2025/01/11 11:01:52.586, 4, 24576, 1650, 22608, 69, 38
2025/01/11 11:01:52.687, 4, 24576, 1650, 22608, 66, 39
2025/01/11 11:01:52.788, 4, 24576, 1650, 22608, 66, 39
2025/01/11 11:01:52.889, 4, 24576, 1650, 22608, 66, 39
2025/01/11 11:01:52.990, 4, 24576, 1650, 22608, 66, 39
2025/01/11 11:01:53.091, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:53.193, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:53.294, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:53.395, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:53.495, 4, 24576, 1650, 22608, 66, 39
2025/01/11 11:01:53.596, 4, 24576, 1650, 22608, 66, 39
2025/01/11 11:01:53.697, 4, 24576, 1650, 22608, 65, 39
2025/01/11 11:01:53.798, 4, 24576, 1650, 22608, 65, 39
2025/01/11 11:01:53.898, 4, 24576, 1650, 22608, 64, 37
2025/01/11 11:01:53.999, 4, 24576, 1650, 22608, 64, 37
2025/01/11 11:01:54.100, 4, 24576, 1650, 22608, 65, 38
2025/01/11 11:01:54.201, 4, 24576, 1650, 22608, 65, 38
2025/01/11 11:01:54.301, 4, 24576, 1650, 22608, 61, 36
2025/01/11 11:01:54.402, 4, 24576, 1650, 22608, 61, 36
2025/01/11 11:01:54.503, 4, 24576, 1650, 22608, 66, 39
2025/01/11 11:01:54.604, 4, 24576, 1650, 22608, 66, 39
2025/01/11 11:01:54.704, 4, 24576, 1650, 22608, 61, 35
2025/01/11 11:01:54.805, 4, 24576, 1650, 22608, 61, 35
2025/01/11 11:01:54.906, 4, 24576, 1650, 22608, 68, 40
2025/01/11 11:01:55.007, 4, 24576, 1650, 22608, 68, 40
2025/01/11 11:01:55.108, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:55.209, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:55.310, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:55.411, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:55.512, 4, 24576, 1650, 22608, 62, 37
2025/01/11 11:01:55.613, 4, 24576, 1650, 22608, 62, 37
2025/01/11 11:01:55.714, 4, 24576, 1650, 22608, 68, 40
2025/01/11 11:01:55.814, 4, 24576, 1650, 22608, 68, 40
2025/01/11 11:01:55.915, 4, 24576, 1650, 22608, 69, 41
2025/01/11 11:01:56.016, 4, 24576, 1650, 22608, 69, 41
2025/01/11 11:01:56.117, 4, 24576, 1650, 22608, 75, 44
2025/01/11 11:01:56.217, 4, 24576, 1650, 22608, 75, 44
2025/01/11 11:01:56.318, 4, 24576, 1650, 22608, 61, 36
2025/01/11 11:01:56.419, 4, 24576, 1650, 22608, 61, 36
2025/01/11 11:01:56.520, 4, 24576, 1650, 22608, 65, 39
2025/01/11 11:01:56.620, 4, 24576, 1650, 22608, 65, 39
2025/01/11 11:01:56.721, 4, 24576, 1650, 22608, 67, 40
2025/01/11 11:01:56.822, 4, 24576, 1650, 22608, 67, 40
2025/01/11 11:01:56.923, 4, 24576, 1650, 22608, 65, 39
2025/01/11 11:01:57.024, 4, 24576, 1650, 22608, 65, 39
2025/01/11 11:01:57.124, 4, 24576, 1650, 22608, 63, 37
2025/01/11 11:01:57.225, 4, 24576, 1650, 22608, 63, 37
2025/01/11 11:01:57.326, 4, 24576, 1650, 22608, 58, 35
2025/01/11 11:01:57.427, 4, 24576, 1650, 22608, 58, 35
2025/01/11 11:01:57.528, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:57.629, 4, 24576, 1650, 22608, 65, 38
2025/01/11 11:01:57.732, 4, 24576, 1650, 22608, 65, 38
2025/01/11 11:01:57.834, 4, 24576, 1650, 22608, 69, 41
2025/01/11 11:01:57.934, 4, 24576, 1650, 22608, 69, 41
2025/01/11 11:01:58.035, 4, 24576, 1650, 22608, 65, 38
2025/01/11 11:01:58.136, 4, 24576, 1650, 22608, 65, 38
2025/01/11 11:01:58.237, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:58.337, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:58.438, 4, 24576, 1650, 22608, 62, 37
2025/01/11 11:01:58.539, 4, 24576, 1650, 22608, 62, 37
2025/01/11 11:01:58.640, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:58.740, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:58.841, 4, 24576, 1650, 22608, 65, 38
2025/01/11 11:01:58.942, 4, 24576, 1650, 22608, 65, 38
2025/01/11 11:01:59.043, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:59.143, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:01:59.244, 4, 24576, 1650, 22608, 57, 34
2025/01/11 11:01:59.345, 4, 24576, 1650, 22608, 57, 34
2025/01/11 11:01:59.445, 4, 24576, 1650, 22608, 61, 37
2025/01/11 11:01:59.546, 4, 24576, 1650, 22608, 61, 37
2025/01/11 11:01:59.647, 4, 24576, 1650, 22608, 65, 38
2025/01/11 11:01:59.748, 4, 24576, 1650, 22608, 65, 38
2025/01/11 11:01:59.849, 4, 24576, 1650, 22608, 63, 37
2025/01/11 11:01:59.950, 4, 24576, 1650, 22608, 63, 37
2025/01/11 11:02:00.051, 4, 24576, 1650, 22608, 60, 36
2025/01/11 11:02:00.152, 4, 24576, 1650, 22608, 60, 36
2025/01/11 11:02:00.253, 4, 24576, 1650, 22608, 68, 41
2025/01/11 11:02:00.354, 4, 24576, 1650, 22608, 68, 41
2025/01/11 11:02:00.454, 4, 24576, 1650, 22608, 69, 40
2025/01/11 11:02:00.556, 4, 24576, 1650, 22608, 69, 40
2025/01/11 11:02:00.656, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:02:00.757, 4, 24576, 1650, 22608, 64, 38
2025/01/11 11:02:00.858, 4, 24576, 1650, 22608, 66, 39
2025/01/11 11:02:00.959, 4, 24576, 1650, 22608, 66, 39
2025/01/11 11:02:01.059, 4, 24576, 1650, 22608, 60, 35
2025/01/11 11:02:01.160, 4, 24576, 1650, 22608, 60, 35
2025/01/11 11:02:01.261, 4, 24576, 1650, 22608, 61, 37
2025/01/11 11:02:01.363, 4, 24576, 1650, 22608, 61, 37
2025/01/11 11:02:01.463, 4, 24576, 1650, 22608, 59, 35
2025/01/11 11:02:01.564, 4, 24576, 1650, 22608, 59, 35
2025/01/11 11:02:01.665, 4, 24576, 1650, 22608, 56, 33
2025/01/11 11:02:01.766, 4, 24576, 1650, 22608, 56, 33
2025/01/11 11:02:01.867, 4, 24576, 1650, 22608, 56, 33
2025/01/11 11:02:01.968, 4, 24576, 1650, 22608, 56, 33
2025/01/11 11:02:02.069, 4, 24576, 1650, 22608, 56, 33
2025/01/11 11:02:02.170, 4, 24576, 1650, 22608, 56, 33
2025/01/11 11:02:02.271, 4, 24576, 1650, 22608, 53, 32
2025/01/11 11:02:02.371, 4, 24576, 1650, 22608, 53, 32
2025/01/11 11:02:02.472, 4, 24576, 1650, 22608, 55, 32
2025/01/11 11:02:02.573, 4, 24576, 1650, 22608, 55, 32
2025/01/11 11:02:02.673, 4, 24576, 1650, 22608, 59, 35
2025/01/11 11:02:02.774, 4, 24576, 1650, 22608, 59, 35
2025/01/11 11:02:02.875, 4, 24576, 1650, 22608, 61, 36
2025/01/11 11:02:02.976, 4, 24576, 1650, 22608, 61, 36
2025/01/11 11:02:03.076, 4, 24576, 1650, 22608, 62, 36
2025/01/11 11:02:03.177, 4, 24576, 1650, 22608, 62, 36
2025/01/11 11:02:03.278, 4, 24576, 1650, 22608, 62, 37
2025/01/11 11:02:03.379, 4, 24576, 1650, 22608, 62, 37
2025/01/11 11:02:03.479, 4, 24576, 1650, 22608, 63, 37
2025/01/11 11:02:03.580, 4, 24576, 1650, 22608, 63, 37
2025/01/11 11:02:03.681, 4, 24576, 1650, 22608, 60, 36
2025/01/11 11:02:03.782, 4, 24576, 1650, 22608, 60, 36
2025/01/11 11:02:03.882, 4, 24576, 1650, 22608, 60, 35
2025/01/11 11:02:03.983, 4, 24576, 1650, 22608, 60, 35
