timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/06 13:24:46.457, 5, 24576, 12, 24247, 0, 0
2025/01/06 13:24:46.557, 5, 24576, 12, 24247, 0, 0
2025/01/06 13:24:46.658, 5, 24576, 12, 24247, 0, 0
2025/01/06 13:24:46.759, 5, 24576, 12, 24247, 0, 0
2025/01/06 13:24:46.859, 5, 24576, 12, 24247, 0, 0
2025/01/06 13:24:46.960, 5, 24576, 12, 24247, 0, 0
2025/01/06 13:24:47.060, 5, 24576, 12, 24247, 0, 0
2025/01/06 13:24:47.161, 5, 24576, 12, 24247, 0, 0
2025/01/06 13:24:47.262, 5, 24576, 12, 24247, 0, 0
2025/01/06 13:24:47.362, 5, 24576, 12, 24247, 0, 0
2025/01/06 13:24:47.463, 5, 24576, 12, 24247, 0, 0
2025/01/06 13:24:47.570, 5, 24576, 14, 24244, 0, 0
2025/01/06 13:24:47.671, 5, 24576, 14, 24244, 0, 0
2025/01/06 13:24:47.772, 5, 24576, 14, 24244, 0, 0
2025/01/06 13:24:47.873, 5, 24576, 14, 24244, 0, 0
2025/01/06 13:24:47.973, 5, 24576, 14, 24244, 0, 0
2025/01/06 13:24:48.074, 5, 24576, 14, 24244, 0, 0
2025/01/06 13:24:48.175, 5, 24576, 24, 24234, 0, 0
2025/01/06 13:24:48.295, 5, 24576, 324, 23934, 1, 0
2025/01/06 13:24:48.396, 5, 24576, 348, 23910, 1, 0
2025/01/06 13:24:48.496, 5, 24576, 380, 23878, 8, 0
2025/01/06 13:24:48.597, 5, 24576, 412, 23846, 8, 0
2025/01/06 13:24:48.698, 5, 24576, 446, 23812, 4, 0
2025/01/06 13:24:48.799, 5, 24576, 492, 23766, 4, 0
2025/01/06 13:24:48.899, 5, 24576, 518, 23740, 4, 0
2025/01/06 13:24:49.000, 5, 24576, 572, 23686, 4, 0
2025/01/06 13:24:49.101, 5, 24576, 598, 23660, 4, 0
2025/01/06 13:24:49.201, 5, 24576, 638, 23620, 4, 0
2025/01/06 13:24:49.302, 5, 24576, 674, 23584, 5, 0
2025/01/06 13:24:49.403, 5, 24576, 742, 23516, 5, 0
2025/01/06 13:24:49.504, 5, 24576, 912, 23346, 6, 0
2025/01/06 13:24:49.605, 5, 24576, 946, 23312, 6, 0
2025/01/06 13:24:49.706, 5, 24576, 984, 23274, 7, 0
2025/01/06 13:24:49.806, 5, 24576, 1020, 23238, 7, 0
2025/01/06 13:24:49.907, 5, 24576, 1060, 23198, 4, 0
2025/01/06 13:24:50.008, 5, 24576, 1098, 23160, 4, 0
2025/01/06 13:24:50.109, 5, 24576, 1132, 23126, 4, 0
2025/01/06 13:24:50.209, 5, 24576, 1174, 23084, 4, 0
2025/01/06 13:24:50.310, 5, 24576, 1210, 23048, 4, 0
2025/01/06 13:24:50.411, 5, 24576, 1246, 23012, 4, 0
2025/01/06 13:24:50.511, 5, 24576, 1282, 22976, 4, 0
2025/01/06 13:24:50.612, 5, 24576, 1324, 22934, 4, 0
2025/01/06 13:24:50.713, 5, 24576, 1356, 22902, 4, 0
2025/01/06 13:24:50.814, 5, 24576, 1394, 22864, 4, 0
2025/01/06 13:24:50.914, 5, 24576, 1436, 22822, 4, 0
2025/01/06 13:24:51.015, 5, 24576, 1474, 22784, 4, 0
2025/01/06 13:24:51.116, 5, 24576, 1514, 22744, 5, 0
2025/01/06 13:24:51.217, 5, 24576, 1786, 22472, 5, 0
2025/01/06 13:24:51.318, 5, 24576, 5264, 18994, 7, 1
2025/01/06 13:24:51.418, 5, 24576, 5362, 18896, 7, 1
2025/01/06 13:24:51.519, 5, 24576, 5550, 18708, 21, 11
2025/01/06 13:24:51.620, 5, 24576, 5922, 18336, 21, 11
2025/01/06 13:24:51.721, 5, 24576, 6050, 18208, 86, 46
2025/01/06 13:24:51.821, 5, 24576, 6050, 18208, 86, 46
2025/01/06 13:24:51.922, 5, 24576, 6050, 18208, 84, 47
2025/01/06 13:24:52.023, 5, 24576, 6050, 18208, 92, 52
2025/01/06 13:24:52.127, 5, 24576, 6050, 18208, 92, 52
2025/01/06 13:24:52.227, 5, 24576, 6050, 18208, 85, 47
2025/01/06 13:24:52.330, 5, 24576, 6050, 18208, 85, 47
2025/01/06 13:24:52.430, 5, 24576, 6050, 18208, 91, 52
2025/01/06 13:24:52.532, 5, 24576, 6050, 18208, 91, 52
2025/01/06 13:24:52.632, 5, 24576, 6050, 18208, 84, 48
2025/01/06 13:24:52.733, 5, 24576, 6050, 18208, 84, 48
2025/01/06 13:24:52.834, 5, 24576, 6050, 18208, 91, 51
2025/01/06 13:24:52.934, 5, 24576, 6050, 18208, 91, 51
2025/01/06 13:24:53.035, 5, 24576, 6050, 18208, 85, 48
2025/01/06 13:24:53.136, 5, 24576, 6050, 18208, 85, 48
2025/01/06 13:24:53.236, 5, 24576, 6050, 18208, 89, 50
2025/01/06 13:24:53.337, 5, 24576, 6050, 18208, 89, 50
2025/01/06 13:24:53.438, 5, 24576, 6050, 18208, 88, 50
2025/01/06 13:24:53.538, 5, 24576, 6050, 18208, 88, 50
2025/01/06 13:24:53.639, 5, 24576, 6050, 18208, 85, 47
2025/01/06 13:24:53.740, 5, 24576, 6050, 18208, 85, 47
2025/01/06 13:24:53.840, 5, 24576, 6050, 18208, 90, 52
2025/01/06 13:24:53.941, 5, 24576, 6050, 18208, 90, 52
2025/01/06 13:24:54.042, 5, 24576, 6050, 18208, 85, 48
2025/01/06 13:24:54.143, 5, 24576, 6050, 18208, 85, 48
2025/01/06 13:24:54.244, 5, 24576, 6050, 18208, 91, 53
2025/01/06 13:24:54.345, 5, 24576, 6050, 18208, 91, 53
2025/01/06 13:24:54.446, 5, 24576, 6050, 18208, 84, 47
2025/01/06 13:24:54.548, 5, 24576, 6050, 18208, 84, 47
2025/01/06 13:24:54.648, 5, 24576, 6050, 18208, 89, 51
2025/01/06 13:24:54.749, 5, 24576, 6050, 18208, 89, 51
2025/01/06 13:24:54.850, 5, 24576, 6050, 18208, 85, 48
2025/01/06 13:24:54.950, 5, 24576, 6050, 18208, 85, 48
2025/01/06 13:24:55.051, 5, 24576, 6050, 18208, 91, 53
2025/01/06 13:24:55.152, 5, 24576, 6050, 18208, 91, 53
2025/01/06 13:24:55.253, 5, 24576, 6050, 18208, 85, 47
2025/01/06 13:24:55.353, 5, 24576, 6050, 18208, 85, 47
2025/01/06 13:24:55.454, 5, 24576, 6050, 18208, 91, 52
2025/01/06 13:24:55.555, 5, 24576, 6050, 18208, 91, 52
2025/01/06 13:24:55.656, 5, 24576, 6050, 18208, 84, 47
2025/01/06 13:24:55.756, 5, 24576, 6050, 18208, 84, 47
2025/01/06 13:24:55.857, 5, 24576, 6050, 18208, 92, 52
2025/01/06 13:24:55.958, 5, 24576, 6050, 18208, 92, 52
2025/01/06 13:24:56.059, 5, 24576, 6050, 18208, 84, 47
2025/01/06 13:24:56.160, 5, 24576, 6050, 18208, 84, 47
2025/01/06 13:24:56.261, 5, 24576, 6050, 18208, 90, 51
2025/01/06 13:24:56.362, 5, 24576, 6050, 18208, 90, 51
2025/01/06 13:24:56.463, 5, 24576, 6050, 18208, 86, 49
2025/01/06 13:24:56.564, 5, 24576, 6050, 18208, 86, 49
2025/01/06 13:24:56.665, 5, 24576, 6050, 18208, 87, 49
2025/01/06 13:24:56.766, 5, 24576, 6050, 18208, 87, 49
2025/01/06 13:24:56.867, 5, 24576, 6050, 18208, 87, 50
2025/01/06 13:24:56.968, 5, 24576, 6050, 18208, 87, 50
2025/01/06 13:24:57.068, 5, 24576, 6050, 18208, 86, 47
2025/01/06 13:24:57.169, 5, 24576, 6050, 18208, 86, 47
2025/01/06 13:24:57.270, 5, 24576, 6050, 18208, 90, 51
2025/01/06 13:24:57.370, 5, 24576, 6050, 18208, 90, 51
2025/01/06 13:24:57.471, 5, 24576, 6050, 18208, 85, 47
2025/01/06 13:24:57.572, 5, 24576, 6050, 18208, 85, 47
2025/01/06 13:24:57.672, 5, 24576, 6050, 18208, 90, 52
2025/01/06 13:24:57.773, 5, 24576, 6050, 18208, 90, 52
2025/01/06 13:24:57.874, 5, 24576, 6050, 18208, 85, 46
2025/01/06 13:24:57.974, 5, 24576, 6050, 18208, 85, 46
2025/01/06 13:24:58.075, 5, 24576, 6050, 18208, 91, 52
2025/01/06 13:24:58.176, 5, 24576, 6050, 18208, 91, 52
2025/01/06 13:24:58.276, 5, 24576, 6050, 18208, 85, 47
2025/01/06 13:24:58.377, 5, 24576, 6050, 18208, 85, 47
2025/01/06 13:24:58.478, 5, 24576, 6050, 18208, 91, 53
2025/01/06 13:24:58.578, 5, 24576, 6050, 18208, 91, 53
2025/01/06 13:24:58.679, 5, 24576, 6050, 18208, 85, 47
2025/01/06 13:24:58.780, 5, 24576, 6050, 18208, 85, 47
2025/01/06 13:24:58.881, 5, 24576, 6050, 18208, 91, 52
2025/01/06 13:24:58.982, 5, 24576, 6050, 18208, 91, 52
2025/01/06 13:24:59.083, 5, 24576, 6050, 18208, 83, 47
2025/01/06 13:24:59.183, 5, 24576, 6050, 18208, 83, 47
2025/01/06 13:24:59.284, 5, 24576, 6050, 18208, 92, 52
2025/01/06 13:24:59.385, 5, 24576, 6050, 18208, 92, 52
2025/01/06 13:24:59.486, 5, 24576, 6050, 18208, 84, 48
2025/01/06 13:24:59.587, 5, 24576, 6050, 18208, 84, 48
2025/01/06 13:24:59.687, 5, 24576, 6050, 18208, 92, 52
2025/01/06 13:24:59.788, 5, 24576, 6050, 18208, 92, 52
2025/01/06 13:24:59.889, 5, 24576, 6050, 18208, 86, 48
2025/01/06 13:24:59.990, 5, 24576, 6050, 18208, 86, 48
2025/01/06 13:25:00.090, 5, 24576, 6050, 18208, 88, 49
2025/01/06 13:25:00.191, 5, 24576, 6050, 18208, 88, 49
2025/01/06 13:25:00.292, 5, 24576, 6050, 18208, 89, 51
