time,utilization
0.1,26
0.4,27
0.7,27
1.0,26
1.3,24
1.6,23
1.9,28
2.2,31
2.5,28
2.8,27
3.1,26
3.4,24
3.7,23
4.0,26
4.3,26
4.6,26
4.9,24
5.2,27
5.5,26
5.8,23
6.1,24
6.4,26
6.7,26
7.0,23
7.3,24
7.6,32
7.9,33
8.2,24
8.5,25
8.8,26
9.1,22
9.4,23
9.7,23
10.0,22
10.3,22
10.6,23
10.9,23
11.2,22
11.5,21
11.8,26
12.1,24
12.4,24
12.7,23
13.0,23
13.3,25
13.6,26
13.9,25
14.2,23
14.5,23
14.8,23
15.1,25
15.4,25
15.7,24
16.0,26
16.3,26
16.6,26
16.9,27
17.2,27
17.5,25
17.8,27
18.1,29
18.4,25
18.7,24
19.0,26
19.3,25
19.6,24
19.9,26
