train_model,infer_model,server_num,train_deg,infer_deg
deepfm,resnet,1,5.71,20.75
deepfm,vgg,1,3.74,3.81
deepfm,mobilenet,1,2.63,3.24
deepfm,bert,1,0.44,27.92
deepfm,deepfm,1,0.53,0.34
deepfm,segnet,1,18.42,16.83
deepfm,roberta,1,10.11,13.47
deepfm,deepvit,1,0.55,3.33
vgg,resnet,1,16.33,21.93
vgg,vgg,1,108.94,595.94
vgg,mobilenet,1,7.92,20.10
vgg,bert,1,25.03,0.94
vgg,deepfm,1,0.18,1.11
vgg,segnet,1,28.87,51.63
vgg,roberta,1,4.84,7.74
vgg,deepvit,1,4.63,8.22
roberta,resnet,1,19.12,49.87
roberta,vgg,1,11.42,0.89
roberta,mobilenet,1,0.97,23.81
roberta,bert,1,28.24,29.61
roberta,deepfm,1,3.20,22.73
roberta,segnet,1,50.12,105.00
roberta,roberta,1,3.21,52.52
roberta,deepvit,1,8.74,37.61
